rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,child_frame_id,pose,position,x,y,z,orientation,qx,qy,qz,qw
2445180000000,,110333,,2445,154000000,"""map""","""base_link""",,,-9.9178609339,-333.581064009,0.0069028226,,8.48274811162E-05,-8.26179008591E-05,-0.7156090122,-0.6985010577
2445180000000,,110334,,2445,164000000,"""map""","""base_link""",,,-9.918608731,-333.550428454,0.0069028227,,8.48256259272E-05,-8.26198037095E-05,-0.7156127279,-0.698497251
2445180000000,,110335,,2445,174000000,"""map""","""base_link""",,,-9.9193407004,-333.519792054,0.0069028227,,8.48257725618E-05,-8.26192761377E-05,-0.7156179776,-0.6984918726
2445223000000,,110336,,2445,184000000,"""map""","""base_link""",,,-9.9200820916,-333.489155672,0.0069028229,,8.4825862378E-05,-8.26192061513E-05,-0.7156269016,-0.6984827297
2445223000000,,110337,,2445,194000000,"""map""","""base_link""",,,-9.9207671516,-333.458517087,0.0069028229,,8.48261286867E-05,-0.000082619,-0.7156345187,-0.6984749255
2445223000000,,110338,,2445,204000000,"""map""","""base_link""",,,-9.9214341648,-333.427877228,0.0069028229,,8.48282384545E-05,-8.26168043564E-05,-0.7156317553,-0.6984777568
2445223000000,,110339,,2445,214000000,"""map""","""base_link""",,,-9.9221560988,-333.397238624,0.0069028231,,8.4828168198E-05,-8.26168380511E-05,-0.7156261533,-0.6984834964
2445270000000,,110340,,2445,224000000,"""map""","""base_link""",,,-9.9229175789,-333.366601147,0.0069028232,,8.48255668054E-05,-8.26194935571E-05,-0.7156294483,-0.6984801205
2445270000000,,110341,,2445,234000000,"""map""","""base_link""",,,-9.9236534237,-333.335961483,0.0069028228,,0.000084825,-8.26204838249E-05,-0.715599968,-0.6985103233
2445270000000,,110342,,2445,244000000,"""map""","""base_link""",,,-9.9243863745,-333.3053225,0.0069028229,,0.000084826,-8.26194850948E-05,-0.7156088713,-0.698501202
2445270000000,,110343,,2445,254000000,"""map""","""base_link""",,,-9.9250691411,-333.274681468,0.006902823,,8.48265353758E-05,-8.26189325952E-05,-0.7156150822,-0.698494839
2445270000000,,110344,,2445,264000000,"""map""","""base_link""",,,-9.9257435508,-333.244039509,0.006902823,,8.48281046858E-05,-8.2617320719E-05,-0.7156121925,-0.6984977996
2445314000000,,110345,,2445,274000000,"""map""","""base_link""",,,-9.9264701166,-333.213398768,0.0069028232,,8.48276954827E-05,-8.2617708288E-05,-0.7156079654,-0.6985021302
2445314000000,,110346,,2445,284000000,"""map""","""base_link""",,,-9.9272254752,-333.182758796,0.0069028232,,8.48254526519E-05,-0.00008262,-0.7156119303,-0.6984980681
2445314000000,,110347,,2445,294000000,"""map""","""base_link""",,,-9.9279594414,-333.152117841,0.0069028232,,8.48254654376E-05,-8.26196278472E-05,-0.7156184637,-0.6984913746
2445314000000,,110348,,2445,304000000,"""map""","""base_link""",,,-9.9286937104,-333.121476591,0.0069028234,,8.48259418269E-05,-8.26191664199E-05,-0.7156276523,-0.6984819605
2445314000000,,110349,,2445,314000000,"""map""","""base_link""",,,-9.929374313,-333.090833184,0.0069028234,,8.48264920729E-05,-8.26186196272E-05,-0.7156340761,-0.698475379
2445324000000,,110350,,2445,324000000,"""map""","""base_link""",,,-9.9300471097,-333.060188849,0.0069028234,,8.48282969476E-05,-8.26167698695E-05,-0.715630687,-0.6984788513
2445334000000,,110351,,2445,334000000,"""map""","""base_link""",,,-9.9307755945,-333.02954585,0.0069028236,,8.48278336849E-05,-8.2617210541E-05,-0.7156261297,-0.6984835206
2445380000000,,110352,,2445,344000000,"""map""","""base_link""",,,-9.9315334673,-332.998903662,0.0069028236,,8.48254175533E-05,-8.26196865647E-05,-0.7156304365,-0.6984791081
2445380000000,,110353,,2445,354000000,"""map""","""base_link""",,,-9.9322615234,-332.96825911,0.0069028232,,8.48252939703E-05,-8.26201963012E-05,-0.7156002572,-0.6985100271
2445380000000,,110354,,2445,364000000,"""map""","""base_link""",,,-9.9329956578,-332.93761551,0.0069028234,,8.48262710753E-05,-8.26192178212E-05,-0.7156079136,-0.6985021833
2445380000000,,110355,,2445,374000000,"""map""","""base_link""",,,-9.9336869001,-332.906970145,0.0069028235,,8.48263349147E-05,-8.26191628194E-05,-0.715614437,-0.6984955
2445427000000,,110356,,2445,384000000,"""map""","""base_link""",,,-9.9343631026,-332.87632368,0.0069028235,,8.48277706761E-05,-8.26176983691E-05,-0.7156129085,-0.698497066
2445427000000,,110357,,2445,394000000,"""map""","""base_link""",,,-9.9350817799,-332.845678097,0.0069028236,,8.4827815876E-05,-8.26176271865E-05,-0.7156088494,-0.6985012245
2445427000000,,110358,,2445,404000000,"""map""","""base_link""",,,-9.9358328116,-332.815033355,0.0069028237,,8.48258628438E-05,-8.26196221853E-05,-0.7156114738,-0.6984985358
2445427000000,,110359,,2445,414000000,"""map""","""base_link""",,,-9.9365615727,-332.784387635,0.0069028237,,8.48253943001E-05,-8.26197521453E-05,-0.7156175158,-0.6984923457
2445427000000,,110360,,2445,424000000,"""map""","""base_link""",,,-9.9373062335,-332.753742076,0.0069028239,,8.48261513576E-05,-0.000082619,-0.7156248816,-0.6984847992
2445474000000,,110361,,2445,434000000,"""map""","""base_link""",,,-9.9380034004,-332.723094679,0.0069028239,,0.000084826,-8.26191571715E-05,-0.7156334188,-0.6984760524
2445474000000,,110362,,2445,444000000,"""map""","""base_link""",,,-9.9386703173,-332.692445672,0.0069028239,,8.48278191108E-05,-8.26173010083E-05,-0.7156327621,-0.6984767253
2445474000000,,110363,,2445,454000000,"""map""","""base_link""",,,-9.9393796279,-332.66179747,0.006902824,,8.48283936302E-05,-8.26166830468E-05,-0.7156270436,-0.6984825842
2445474000000,,110364,,2445,464000000,"""map""","""base_link""",,,-9.9401368428,-332.631150612,0.0069028241,,8.48261470689E-05,-0.000082619,-0.7156283009,-0.6984812961
2445474000000,,110365,,2445,474000000,"""map""","""base_link""",,,-9.9408738169,-332.60050181,0.0069028237,,8.48247979781E-05,-8.26208510411E-05,-0.7155988031,-0.6985115167
2445515000000,,110366,,2445,484000000,"""map""","""base_link""",,,-9.941615244,-332.569853894,0.0069028239,,0.000084826,-8.26195309253E-05,-0.7156065244,-0.6985036065
2445515000000,,110367,,2445,494000000,"""map""","""base_link""",,,-9.9423101337,-332.53920415,0.0069028239,,8.48261809276E-05,-8.26193575319E-05,-0.7156145926,-0.6984953406
2445515000000,,110368,,2445,504000000,"""map""","""base_link""",,,-9.9429787284,-332.508552929,0.006902824,,8.48278065617E-05,-8.26176996353E-05,-0.7156136767,-0.698496279
2445515000000,,110369,,2445,514000000,"""map""","""base_link""",,,-9.9436907061,-332.477902569,0.0069028241,,8.48282181827E-05,-8.26172471012E-05,-0.7156084155,-0.6985016691
2445524000000,,110370,,2445,524000000,"""map""","""base_link""",,,-9.944446953,-332.44725344,0.0069028242,,0.000084826,-8.2619504518E-05,-0.7156101237,-0.698499919
2445534000000,,110371,,2445,534000000,"""map""","""base_link""",,,-9.9451760985,-332.416603271,0.0069028241,,0.000084825,-8.26206190969E-05,-0.7156180014,-0.6984918482
2445574000000,,110372,,2445,544000000,"""map""","""base_link""",,,-9.945914662,-332.385952947,0.0069028243,,8.48264694384E-05,-8.261869359E-05,-0.7156234037,-0.6984863135
2445574000000,,110373,,2445,554000000,"""map""","""base_link""",,,-9.9466226697,-332.355301374,0.0069028244,,8.48262096412E-05,-0.000082619,-0.7156315369,-0.6984779806
2445574000000,,110374,,2445,564000000,"""map""","""base_link""",,,-9.947297239,-332.324648169,0.0069028244,,8.4827261055E-05,-8.26178982754E-05,-0.7156329145,-0.6984765691
2445574000000,,110375,,2445,574000000,"""map""","""base_link""",,,-9.9479976135,-332.293995228,0.0069028245,,8.48282748564E-05,-8.26168454083E-05,-0.7156284211,-0.6984811729
2445618000000,,110376,,2445,584000000,"""map""","""base_link""",,,-9.9487436935,-332.263343483,0.0069028246,,8.48267317778E-05,-8.26184056257E-05,-0.7156281615,-0.6984814389
2445618000000,,110377,,2445,594000000,"""map""","""base_link""",,,-9.9494811328,-332.232691302,0.0069028246,,8.48252257446E-05,-0.00008262,-0.7156347237,-0.6984747155
2445618000000,,110378,,2445,604000000,"""map""","""base_link""",,,-9.9502275027,-332.202037888,0.0069028244,,0.000084826,-8.26195102999E-05,-0.7156035209,-0.6985066835
2445618000000,,110379,,2445,614000000,"""map""","""base_link""",,,-9.9509408338,-332.171384306,0.0069028244,,8.48257665848E-05,-8.26198049033E-05,-0.7156133972,-0.6984965653
2445665000000,,110380,,2445,624000000,"""map""","""base_link""",,,-9.951606748,-332.140728627,0.0069028244,,8.4827298782E-05,-8.26182597744E-05,-0.715615529,-0.6984943812
